"## Filename : qalingo-bo-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : bo",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Backoffice Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"auth","reset.password.password","Password","Mot de passe","Passwort","Contraseña","Password","Wachtwoord","Senha","パスワード","密码","密碼","密碼","密碼","Mật khẩu","пароль","Contrasenya","Pasahitza"
"auth","reset.password.confirm.password","Confirm Password","Confirmation du mot de passe","Passwortbestätigung","Confirmación de la contraseña","Conferma Password","Wachtwoord Bevestiging","Confirmação de Senha","パスワード確認","密碼確認","確認密碼","密碼確認","確認密碼","Xác nhận mật khẩu","Подтвердите Пароль","Confirmació de la contrasenya","Pasahitzaren konfirmazioa"
"auth","reset.password.success.message","Your reset password request was processed with success.","Votre demande de réinitialisation de mot de passe a été traitée avec succès.","Ihr Passwort zurücksetzen Anfrage wurde erfolgreich bearbeitet.","Su solicitud de restablecimiento de contraseña se procesó con éxito.","La richiesta della password di ripristino è stato elaborato con successo.","Uw reset wachtwoord aanvraag werd verwerkt met succes.","O seu pedido de redefinição de senha foi processado com sucesso.","Your reset password request was processed with success.","Your reset password request was processed with success.","Your reset password request was processed with success.","Your reset password request was processed with success.","Your reset password request was processed with success.","Your reset password request was processed with success.","Ваше запроса на перезагрузку пароль был обработан с успехом.","La seva sol·licitud de restabliment de contrasenya s'ha processat correctament.","Pasahitza berrezartzeko eskaera ongi prozesatu."
,,,,,,,,,,,,,,,,,
"auth","reset.password.is.cancel","Reset password was canceled with success!","Le changement de mot de passe oublié a été annulé avec succès !","Haben die Kennwortänderung wurde erfolgreich abgebrochen!","¿Olvidó el cambio de contraseña se canceló con éxito!","Hai dimenticato la modifica della password è stata annullata con successo!","Wachtwoord vergeten verandering werd met succes geannuleerd!","Esqueceu a alteração de senha foi cancelada com sucesso!","忘れたパスワードの変更が正常にキャンセルされました！","重置密码被取消成功！","重置密碼被取消成功！","重置密碼被取消成功！","重置密碼被取消成功！","Hủy đặt lại mật khẩu thành công!","Сброс пароля была отменена с успехом!","Heu oblidat el canvi de contrasenya es va cancel·lar amb èxit!","Pasahitza ahaztu aldaketa bertan behera utziko da ongi!"
,,,,,,,,,,,,,,,,,
"auth","reset.password.form.submit","Validate","Valider","prüfen","validar","convalidare","bekrachtigen","validar","有効にする","验证","驗證","驗證","驗證","Hợp lệ","утверждать","Validar","Balidatu"
,,,,,,,,,,,,,,,,,
"auth","error.form.reset.password.email.empty","The email is wrong!","L&#39;email est incorrecte !","E-Mail ist nicht korrekt!","El correo electrónico es incorrecto!","Mail non è corretto!","E-mail is niet juist!","E-mail está incorreto!","メールが正しくありません！","电子邮箱是错误的！","電子郵箱是錯誤的！","電子郵箱是錯誤的！","電子郵箱是錯誤的！","Email không đúng!","E-mail не так!","El correu electrònic és incorrecte!","E-posta ez da zuzena!"
"auth","error.form.reset.password.email.or.login.are.wrong","The email is wrong!","L&#39;email est incorrecte !","E-Mail ist nicht korrekt!","El correo electrónico es incorrecto!","Mail non è corretto!","E-mail is niet juist!","E-mail está incorreto!","メールが正しくありません！","电子邮箱是错误的！","電子郵箱是錯誤的！","電子郵箱是錯誤的！","電子郵箱是錯誤的！","Email không đúng!","E-mail не так!","El correu electrònic és incorrecte!","E-posta ez da zuzena!"
"auth","error.form.reset.password.token.empty","The token is wrong!","Le token/clé est incorrecte !","Das Token / Schlüssel ist nicht korrekt!","La llave ficha / es incorrecto!","La chiave / token è corretto!","De token / sleutel is onjuist!","A / chave token é incorreto!","トークン/キーが間違っています！","令牌是错误的！","令牌是錯誤的！","令牌是錯誤的！","令牌是錯誤的！","Token không đúng!","Маркер не так!","La clau fitxa / és incorrecte!","The token / gakoa ez da zuzena!"
"auth","error.form.reset.password.token.is.wrong","The token is wrong!","Le token/clé est incorrecte !","Das Token / Schlüssel ist nicht korrekt!","La llave ficha / es incorrecto!","La chiave / token è corretto!","De token / sleutel is onjuist!","A / chave token é incorreto!","トークン/キーが間違っています！","令牌是错误的！","令牌是錯誤的！","令牌是錯誤的！","令牌是錯誤的！","Token không đúng!","Маркер не так!","La clau fitxa / és incorrecte!","The token / gakoa ez da zuzena!"
"auth","error.form.reset.password.password.empty","The password is empty!","Le mot de passe est vide !","Das Passwort ist leer!","La contraseña está vacía!","La password è vuota!","Het wachtwoord is leeg!","A senha está vazio!","パスワードは空です！","密码是空的！","密碼是空的！","密碼是空的！","密碼是空的！","Token không đúng!","Пустой пароль!","La contrasenya és buida!","Pasahitza hutsik dago!"
"auth","error.form.reset.password.new.password.empty","The confirm password is empty!","La confirmation de mot de passe est vide !","Bestätigung Passwort ist leer!","La confirmación de contraseña está vacía!","Conferma della password è vuoto!","Bevestiging van het wachtwoord is leeg!","A confirmação da senha está vazio!","パスワードの確認は空です！","确认密码是空的！","確認密碼是空的！","確認密碼是空的！","確認密碼是空的！","Mật khẩu xác nhận không có!","Подтверждение пароля пуст!","La confirmació de contrasenya és buida!","Pasahitza baieztatzea hutsik dago!"
"auth","error.form.reset.password.password.doesnt.match","Password values doesn&#39;t match!","Les mots de passe ne correspondent pas !","Passwörter stimmen nicht überein!","Las contraseñas no coinciden!","Le password non corrispondono!","Wachtwoorden komen niet overeen!","As senhas não são iguais!","パスワードが一致しません！","密码值不匹配！","密碼值不匹配！","密碼值不匹配！","密碼值不匹配！","Mật khẩu không khớp!","Значения пароль не совпадают!","Les contrasenyes no coincideixen!","Pasahitzak ez datoz bat!"
"auth","error.form.reset.password.email.doesnt.exist","Email doesn&#39;t exist!","Cet email client n&#39;existe pas !","Diese E-Mail-Client gibt es nicht!","Este cliente de correo electrónico no existe!","Questo client di posta elettronica non esiste!","Dit e-mailclient bestaat niet!","Este cliente de e-mail não existe!","この電子メールクライアントが存在しません！","电子邮件不存在！","電子郵件不存在！","電子郵件不存在！","電子郵件不存在！","Email không tồn tại!","Email не существует!","Aquest client de correu electrònic no existeix!","Posta elektroniko bezeroa hau ez da existitzen!"
"auth","error.form.reset.password.customer.is.not.active","This customer&#39;s email is not an active account!","Ce client n&#39;est pas un compte valide ou actif !","Dieser Client ist keine gültige oder aktiven Account!","Este cliente no es una cuenta válida o activo!","Questo client non è un account valido o attivo!","Deze client is geen geldige of actieve account!","Este cliente não é uma conta válida ou ativa!","このクライアントは、有効またはアクティブなアカウントではありません！","该客户的电子邮件是个未激活帐户！","該客戶的電子郵件是個未激活帳戶！","該客戶的電子郵件是個未激活帳戶！","該客戶的電子郵件是個未激活帳戶！","Email của khách hàng chưa phải là tài khoản được kích hoạt!","Отправить по электронной почте клиента не активный счет!","Aquest client no és un compte vàlida o actiu!","Bezero hau ez da baliozkoa edo aktibo kontu bat!"
,,,,,,,,,,,,,,,,,
"## -- Search Page --",,,,,,,,,,,,,,,,,
,"header.title.search","Search","Rechercher","Suchen Nach","Buscar","Cercare","zoeken Naar","Procurar","検索する","搜索","搜索","搜索","搜索","Tìm kiếm","поиск","Cercar","Search For"
,"main.content.title.search","Search","Rechercher","Suchen Nach","Buscar","Cercare","zoeken Naar","Procurar","検索する","搜索","搜索","搜索","搜索","Tìm kiếm","поиск","Cercar","Search For"
,"header.menu.search","Search","Rechercher","Suchen Nach","Buscar","Cercare","zoeken Naar","Procurar","検索する","搜索","搜索","搜索","搜索","Tìm kiếm","поиск","Cercar","Search For"
,"search.content.text","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante- und Halb dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel Triplett ligula. Sed diam nullam ut sem Lehrplan molestie sed quis mauris. Ut imperdiet, nisi hatte feugiat egestas, eros nisl tortor elementum hat rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel ornare viverra, mauris augue velit malesuada hatte faucibus magna eros lacus. Morbi leo hat tortor hatte tincidunt velit. Ullamcorper Morbidität, quam consequat eleifend accumsan, metus erat Stiel km, Lebenslauf elit erat aliquet tortor. In eget diam ac felis vulputate molestie pulvinar nicht arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, elit adipiscing consectetur. Nulla ante augue eget y mediados dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend ñeque, Risus pulvinar sentarse elit amet Identificación del enim. Curabitur vitae lígula enim orci vel triplete. Nullam diam Sed ut currículo sem molestie sed quis mauris. Imperdiet Ut, nisi tenía feugiat egestas, eros elementum tortor nisl, tiene rutrum odio turpis sit amet nulla. Nullam fermentum, velita vel ornare viverra, malesuada mauris augue velita, tenía faucibus magna eros Lacus. Morbi leo tiene tortor, tenía velita tincidunt. Morbilidad Ullamcorper, consequat quam eleifend accumsan, erat metus tallo mi, curriculum vitae elit aliquet erat tortor. En eget diam ac felis vulputate molestie pulvinar no arcu. Phasellus feugiat justo ut.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla Eget augue ante e mid dignissim. Cras Inchiesta, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel ligula tripletta. Sed diam nullam ut curriculum sem molestie sed quis Mauris. Ut imperdiet, nisi aveva feugiat egestas, eros nisl tortor elementum, ha rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel ornare viverra, Mauris augue velit malesuada, aveva faucibus magna eros lacus. Morbi leo ha tortor, aveva tincidunt velit. Ullamcorper morbilità, quam consequat eleifend accumsan, Metus erat mi gambo, curriculum vitae elit erat aliquet tortor. In Eget diam ac felis vulputate molestie pulvinar non Arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla Eget augue ante en mid dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim id elit. Curabitur vitae orci enim vel triplet tongetje. Sed diam nullam ut sem curriculum molestie sed quis Mauris. Ut imperdiet, nisi had feugiat egestas, eros NISL Tortor Elementum, heeft rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel Ornare Viverra, Mauris augue velit malesuada, had faucibus magna eros Lacus. Morbi leo heeft Tortor, had tincidunt velit. Ullamcorper morbiditeit, quam consequat eleifend accumsan, metus erat stengel mi, curriculum vitae elit erat aliquet Tortor. In Eget diam ac felis vulputate molestie pulvinar niet Arcu. Phasellus feugiat ut justo.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante e meados dignissim. Cras posuere, dolor vel adipiscing tempus, quam diam eleifend neque, Risus pulvinar sit amet enim elit id. Curabitur vitae Orci enim vel triplete ligula. Sed nullam diam currículo sem ut molestie sed Quis mauris. Ut imperdiet, nisi teve feugiat egestas, eros NISL elementum tortor, tem rutrum odio turpis sit amet nulla. Nullam fermentum, velit vel Ornare viverra, mauris augue velit malesuada, teve faucibus eros magna lacus. Morbi leo tem tortor, teve tincidunt velit. Ullamcorper morbidade, quam consequat eleifend accumsan, metus erat mi talo, curriculum vitae elit erat aliquet tortor. Em eget diam ac felis vulputate molestie pulvinar não arcu. Phasellus feugiat ut justo.","Loremのイプサムの嘆き、AMET consecteturのadipiscingのELIT座る。 Nulla egetのaugueのアンティとミッドdignissim。お問い合わせ今、悲しみのVELのadipiscingのテンパスのCRA、QUAM DIAM eleifend neque、笑い視床枕enim者ID ELITをAMET座る。 Curabitur履歴書のorci enimのVELトリプレットligula。 SED DIAMのnullam UT SEMのカリキュラムmolestie SED QUIS mauris。 UTのimperdiet、NiSiからは排出物feugiat持っていた、エロスnisl tortorのelementumは、rutrum ODIO turpis AMET座るnullaを持っています。 Nullamファーメンタム、velit VEL ornare viverra、maurisのaugueのvelitのmalesuada、faucibusマグナエロスのラクスを持っていた。 Morbiレオはtinciduntのvelitを持っていた、tortorを持っています。 Ullamcorperの罹患率、QUAM consequat eleifend accumsan、metusのERATは、MI、履歴書のELIT ERATのaliquetのtortor茎。 egetのDIAMのAC INフェリスvulputate molestie視床枕非ARCU。 Phasellusのfeugiat UTのフスト。","这是痛苦，谢谢你，后一个注释。离合器取得了尼思的前面，刷，我的女神。明天，他们设置起来，疼痛，或监测的恐惧，日本的帝国保持总线，可以肯定的微笑论坛成千上万的声音。 ，正式拧，欢迎来访的美国国，或油箱世界各地的压力没有到可以讲电视上坐电子邮件尼思帮助。一样聪明，不中频好漫画，观光元素替代的玩家，光明使者它去没有更丑。中继聊天，或玩户外教育，技术将扩展咽痛传播，从湖杂志。主持一个复杂的，电脑游戏开发商。玩过足球，帝国的团队为导向的结果，有被冲击，我的竞争是一个拧包。平台的电网，并极大地降低了员工的汽车，没有酒精工作服收入的敬业精神。 “ ”我们将是肯定要发表评论。离合器已经取得尼思的前面，刷，我的女神。明天，他们安装了疼痛，或监测的恐惧，日本的帝国保持总线，微笑论坛成千上万的声音。 ，为螺纹，欢迎来到美国，还是世界各地的罐。电子邮件发送区实施扩张，坐在后面尼思帮助。一样聪明，不中频好漫画，观光元素替换球员，别墅没有更多的使者，光它丑陋。中继聊天，或玩户外教育，要叛，酸痛的喉咙蔓延来创建，给出一个大致湖。一个复杂的，电脑游戏开发商主办的发挥足球，以团队为导向的结果，帝国，震荡，我的竞争是一个拧包。平台电网和大幅降低员工的汽车，没有酒精。敬业精神在这货运火车上。","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","這是痛苦，謝謝你，後一個註釋。離合器取得了尼思的前面，刷，我的女神。明天，他們設置起來，疼痛，或監測的恐懼，日本的帝國保持總線，可以肯定的微笑論壇成千上萬的聲音。 ，正式擰，歡迎來訪的美國國，或油箱世界各地的壓力沒有到可以講電視上坐電子郵件尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替代的玩家，光明使者它去沒有更醜。中繼聊天，或玩戶外教育，技術將擴展咽痛傳播，從湖雜誌。主持一個複雜的，電腦遊戲開發商。玩過足球，帝國的團隊為導向的結果，有被衝擊，我的競爭是一個擰包​​。平台的電網，並極大地降低了員工的汽車，沒有酒精工作服收入的敬業精神。 “ ”我們將是肯定要發表評論。離合器已經取得尼思的前面，刷，我的女神。明天，他們安裝了疼痛，或監測的恐懼，日本的帝國保持總線，微笑論壇成千上萬的聲音。 ，為螺紋，歡迎來到美國，還是世界各地的罐。電子郵件發送區實施擴張，坐在後面尼思幫助。一樣聰明，不中頻好漫畫，觀光元素替換球員，別墅沒有更多的使者，光它醜陋。中繼聊天，或玩戶外教育，要叛，酸痛的喉嚨蔓延來創建，給出一個大致湖。一個複雜的，電腦遊戲開發商主辦的發揮足球，以團隊為導向的結果，帝國，震盪，我的競爭是一個擰包​​。平台電網和大幅降低員工的汽車，沒有酒精。敬業精神這貨運火車上。 ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla eget augue ante, et dignissim mi. Cras posuere, dolor vel tempus adipiscing, quam diam eleifend neque, sit amet pulvinar risus enim id elit. Curabitur vitae enim orci, vel tristique ligula. Nullam sed diam ut sem cursus molestie sed quis mauris. Ut imperdiet, nisi eu feugiat egestas, eros nisl elementum tortor, at rutrum odio nulla sit amet turpis. Nullam fermentum, velit vel ornare viverra, mauris velit malesuada augue, eu faucibus eros magna a lacus. Morbi a leo tortor, eu tincidunt velit. Morbi ullamcorper, quam consequat eleifend accumsan, metus erat commodo mi, vitae aliquet erat elit vitae tortor. In eget diam ac felis vulputate molestie pulvinar non arcu. Phasellus ut feugiat justo.","Lorem Ipsum боль сидеть Амет, consectetur adipiscing Элит. Nulla Eget augue анте, и др dignissim миль. Крас Дознание, боль Новичок Tempus adipiscing, Квам диаметр eleifend neque, сидеть Амет pulvinar пзиз enim документа Элит. Curabitur биография enim Орси, Vel tristique язычок. Nullam Sed диаметр ут сем Cursus molestie Sed Quis mauris. Ut imperdiet, разводе ЕС feugiat экскретов, эрос nisl Elementum tortor, в rutrum ODIO Nulla сидеть Амет turpis. Nullam fermentum, велит Новичок ornare Циветы, mauris велит malesuada augue, ЕС faucibus эрос Magna Lacus. Morbi Лев tortor, ЕС tincidunt велит. Morbi ullamcorper, Квам consequat eleifend accumsan, Метус и требовалось Commodo миль, биография aliquet и требовалось Элит биография tortor. В EGET диам переменного тока Felis vulputate molestie pulvinar не arcu. Phasellus ут feugiat Хусто.","Lorem ipsum dolor sit amet, elit adipiscing consectetur. Nulla davant augue eget i mitjans dignissim. Cras posuere, mal vel adipiscing tempus, quam diam eleifend ñeque, Risus pulvinar seure elit amet Identificació del enim. Curabitur vitae lígula enim Orci vel triplet. Nullam diam Sigueu ut currículum sem molestie set quis mauris. Imperdiet Ut, nisi tenia feugiat egestas, eros elementum tortor nisl, té rutrum odi turpis sit amet nulla. Nullam fermentum, espelmeta vel ornare Viverra, malesuada mauris augue espelmeta, tenia Faucibus magna eros Lacus. Morbi llegeixo té tortor, tenia espelmeta tincidunt. Morbiditat Ullamcorper, consequat quam eleifend accumsan, erat metus tija mi, currículum vitae elit aliquet erat tortor. En eget diam ac felis vulputate molestie pulvinar no ARCU. Phasellus feugiat just ut.","Listatua publikatuko, Erantzun elite. Sony eget augue ante eta dignissim erdialdean. Jarraipen Similar, mina edo adipiscing tempus, nola diam eleifend ezta, risus zure for Kit id elite. Curabitur vitae orci enim edo hirukote ligula. Sed diam ikasgelan ut sem curriculum molestie sed quis mauris. Ut imperdiet, nisi egestas feugiat izan, eros nisl tortor elementu, makillaje odio turpis da publikatuko nulla ditu. Eguraldia fermentum, kanporako edo posta viverra, mauris augue velit malesuada, izan faucibus magna eros Saria. Morbi leo tortor ditu, tincidunt zehaztapen ematen izan. Ullamcorper erikortasun, nola consequat eleifend accumsan, metus erat stalk mi, curriculum vitae elit erat aliquet tortor. Gustatu diam ac In felis vulputate molestie zure gabeko itxita. Phasellus feugiat ut justo."
,,,,,,,,,,,,,,,,,
"search","form.search.label.text","Text","Texte","Text","texto","testo","tekst","texto","テキスト","文本","文本","文本","文本","Văn bản","текст","Text","Testua"
,"form.search.label.submit","Search","Rechercher","Suchen Nach","Buscar","Cercare","zoeken Naar","Procurar","検索する","搜索","搜索","搜索","搜索","Tìm kiếm","поиск","Cercar","Search For"
,,,,,,,,,,,,,,,,,
"auth","error.form.search.text.empty","Text is mandatory","Le texte est obligatoire","Der Text ist obligatorisch","El texto es obligatorio","Il testo è obbligatoria","De tekst is verplicht","O texto é obrigatória","テキストは必須です","文字是强制性的","文字是強制性的","文字是強制性的","文字是強制性的","Văn bản là bắt buộc","Текст является обязательным","El text és obligatori","Testua derrigorrezkoa da"
"auth","error.form.search.text.is.not.valid","Text is not valid","Le texte n&#39;est pas valide","Der Text ist nicht gültig","El texto no es válido","Il testo non è valido","De tekst is niet geldig","O texto não é válido","テキストが有効ではありません","文字是无效的","文字是無效的","文字是無效的","文字是無效的","Văn bản không hợp lệ","Текст не действует","El text no és vàlid","Testu baliogabea da"
,,,,,,,,,,,,,,,,,
"## -- Legal-Terms Page --",,,,,,,,,,,,,,,,,
"legal.terms","header.title","Legacy","Mentions légales","Impressum","pie de imprenta","impronta","afdruk","cunho","インプリント","遗产","遺產","遺產","遺產","Di sản","наследие","Peu d'impremta","Lege-informazioa"
"menu","header.menu","Legacy","Mentions légales","Impressum","pie de imprenta","impronta","afdruk","cunho","インプリント","遗产","遺產","遺產","遺產","Di sản","наследие","Peu d'impremta","Lege-informazioa"
